Meas No,Distance (cm),Permittivity (mV),Probe Soil Moisture (%),Comments
1115,72700,911,,
1116,72800,879,,
1117,72900,1072,,
1118,73000,1048,,
1119,73100,1052,,
1120,73200,1085,,
1121,73300,951,,
1122,73400,1068,,
1123,73500,1095,,
1124,73600,1086,,
1125,73700,1003,,
1126,73800,1060,,
1127,73900,1003,,
1128,74000,960,,
1129,74100,1097,,
1130,74200,1106,,
1131,74300,1038,,
1132,74400,1040,,
1133,74500,1027,,
1134,74600,1006,,
1135,74700,1028,,
1136,74800,894,,
1137,74900,753,,
1138,75000,688,,
1139,75100,521,,
1140,75200,433,,
1141,75300,553,,
1142,75400,675,,
1143,75500,609,,
1144,75600,596,,
1145,75700,469,,
1146,75800,473,,
1147,75900,817,,
1148,76000,742,,
1149,76100,683,,
1150,76200,694,,
1151,76300,583,,
1152,76400,539,,
1153,76500,356,,
1154,76600,298,,
1155,76700,544,,
1156,76800,477,,
1157,76900,491,,
1158,77000,825,,
1159,77100,376,,
1160,77200,551,,
1161,77300,593,,
1162,77400,628,,
1163,77500,709,,
1164,77600,738,,
1165,77700,499,,
1166,77800,141,,
1167,77900,151,,
1168,78000,251,,
1169,78100,173,,
1170,78200,150,,
1171,78300,192,,
1172,78400,262,,
1173,78500,178,,
1174,78600,176,,
1175,78700,154,,
